,league_code,date,home_team,away_team,home_goals,away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_odds,draw_odds,away_odds,hour,weekday,ft_result_raw,home_points,away_points,goal_diff,goals_total,ht_result_raw,ht_goal_diff,ht_goals_total,season_file,home_shots,away_shots,home_shots_ot,away_shots_ot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,home_bookings_pts,away_bookings_pts,time
68,P1,2010-10-31,Leiria,Sp Lisbon,1.0,2.0,A,1.0,2.0,A,4.2,3.25,1.91,,6.0,A,0.0,3.0,-1.0,3.0,A,-1.0,3.0,cleanP1_1011,,,,,,,,,,,,,,,
70,P1,2010-10-31,Olhanense,Maritimo,1.0,1.0,D,0.0,1.0,A,2.4,3.1,3.0,,6.0,D,1.0,1.0,0.0,2.0,A,-1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
71,P1,2010-11-01,Guimaraes,Portimonense,2.0,0.0,H,1.0,0.0,H,1.65,3.6,5.5,,0.0,H,3.0,0.0,2.0,2.0,H,1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
72,P1,2010-11-05,Setubal,Rio Ave,3.0,3.0,D,1.0,2.0,A,2.38,3.0,3.25,,4.0,D,1.0,1.0,0.0,6.0,A,-1.0,3.0,cleanP1_1011,,,,,,,,,,,,,,,
73,P1,2010-11-06,Pacos Ferreira,Nacional,0.0,1.0,A,0.0,0.0,D,2.4,3.1,3.1,,5.0,A,0.0,3.0,-1.0,1.0,D,0.0,0.0,cleanP1_1011,,,,,,,,,,,,,,,
74,P1,2010-11-06,Portimonense,Academica,2.0,2.0,D,0.0,2.0,A,2.9,3.1,2.5,,5.0,D,1.0,1.0,0.0,4.0,A,-2.0,2.0,cleanP1_1011,,,,,,,,,,,,,,,
75,P1,2010-11-07,Maritimo,Leiria,1.0,1.0,D,0.0,0.0,D,1.91,3.25,4.2,,6.0,D,1.0,1.0,0.0,2.0,D,0.0,0.0,cleanP1_1011,,,,,,,,,,,,,,,
76,P1,2010-11-07,Naval,Olhanense,1.0,1.0,D,1.0,0.0,H,2.7,3.0,2.8,,6.0,D,1.0,1.0,0.0,2.0,H,1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
77,P1,2010-11-07,Porto,Benfica,5.0,0.0,H,3.0,0.0,H,1.83,3.5,4.33,,6.0,H,3.0,0.0,5.0,5.0,H,3.0,3.0,cleanP1_1011,,,,,,,,,,,,,,,
78,P1,2010-11-07,Sp Braga,Beira Mar,2.0,3.0,A,0.0,1.0,A,1.5,4.0,7.0,,6.0,A,0.0,3.0,-1.0,5.0,A,-1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
79,P1,2010-11-08,Sp Lisbon,Guimaraes,2.0,3.0,A,2.0,0.0,H,1.53,3.8,6.5,,0.0,A,0.0,3.0,-1.0,5.0,H,2.0,2.0,cleanP1_1011,,,,,,,,,,,,,,,
80,P1,2010-11-12,Nacional,Maritimo,0.0,0.0,D,0.0,0.0,D,2.25,3.2,3.25,,4.0,D,1.0,1.0,0.0,0.0,D,0.0,0.0,cleanP1_1011,,,,,,,,,,,,,,,
81,P1,2010-11-13,Academica,Sp Lisbon,1.0,2.0,A,0.0,2.0,A,3.4,3.2,2.15,,5.0,A,0.0,3.0,-1.0,3.0,A,-2.0,2.0,cleanP1_1011,,,,,,,,,,,,,,,
82,P1,2010-11-13,Guimaraes,Sp Braga,2.0,1.0,H,1.0,1.0,D,2.5,3.2,2.8,,5.0,H,3.0,0.0,1.0,3.0,D,0.0,2.0,cleanP1_1011,,,,,,,,,,,,,,,
87,P1,2010-11-14,Rio Ave,Pacos Ferreira,3.0,1.0,H,2.0,1.0,H,2.2,3.2,3.3,,6.0,H,3.0,0.0,2.0,4.0,H,1.0,3.0,cleanP1_1011,,,,,,,,,,,,,,,
86,P1,2010-11-14,Porto,Portimonense,2.0,0.0,H,1.0,0.0,H,1.14,7.0,19.0,,6.0,H,3.0,0.0,2.0,2.0,H,1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
83,P1,2010-11-14,Benfica,Naval,4.0,0.0,H,1.0,0.0,H,1.2,6.0,14.0,,6.0,H,3.0,0.0,4.0,4.0,H,1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
84,P1,2010-11-14,Leiria,Setubal,1.0,0.0,H,1.0,0.0,H,1.9,3.25,4.2,,6.0,H,3.0,0.0,1.0,1.0,H,1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
85,P1,2010-11-14,Olhanense,Beira Mar,1.0,1.0,D,1.0,0.0,H,2.1,3.2,3.6,,6.0,D,1.0,1.0,0.0,2.0,H,1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
88,P1,2010-11-26,Setubal,Academica,0.0,1.0,A,0.0,1.0,A,2.88,3.2,2.5,,4.0,A,0.0,3.0,-1.0,1.0,A,-1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
