,league_code,date,time,home_team,away_team,home_goals,away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_shots,away_shots,home_shots_ot,away_shots_ot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,hour,weekday,ft_result_raw,home_points,away_points,goal_diff,goals_total,ht_result_raw,ht_goal_diff,ht_goals_total,home_bookings_pts,away_bookings_pts,season_file
84,P1,2019-11-03,17:30,Tondela,Sp Lisbon,1,0,H,0,0,D,5,15,3,3,1,7,15,13,4,3,0,0,17,6,H,3,0,1,1,D,0,0,40,30,cleanP1_1920
83,P1,2019-11-03,15:00,Gil Vicente,Maritimo,2,0,H,0,0,D,15,8,6,1,4,3,18,14,0,0,0,0,15,6,H,3,0,2,2,D,0,0,0,0,cleanP1_1920
87,P1,2019-11-04,19:00,Belenenses,Pacos Ferreira,1,0,H,0,0,D,8,16,2,5,1,9,22,23,1,4,0,0,19,0,H,3,0,1,1,D,0,0,10,40,cleanP1_1920
88,P1,2019-11-04,21:00,Portimonense,Santa Clara,1,1,D,1,0,H,14,15,4,4,4,8,11,15,4,2,0,0,21,0,D,1,1,0,2,H,1,1,40,20,cleanP1_1920
89,P1,2019-11-04,21:00,Setubal,Boavista,1,0,H,0,0,D,7,27,2,5,2,11,8,9,3,4,0,0,21,0,H,3,0,1,1,D,0,0,30,40,cleanP1_1920
90,P1,2019-11-08,20:30,Aves,Gil Vicente,1,2,A,1,2,A,5,5,4,4,7,4,19,26,2,3,0,0,20,4,A,0,3,-1,3,A,-1,3,20,30,cleanP1_1920
91,P1,2019-11-09,15:30,Rio Ave,Setubal,1,0,H,1,0,H,7,10,3,3,9,4,14,10,0,1,0,0,15,5,H,3,0,1,1,H,1,1,0,10,cleanP1_1920
92,P1,2019-11-09,18:00,Santa Clara,Benfica,1,2,A,1,0,H,12,11,3,6,2,4,13,10,3,3,0,0,18,5,A,0,3,-1,3,H,1,1,30,30,cleanP1_1920
93,P1,2019-11-09,20:30,Famalicao,Moreirense,3,3,D,2,0,H,17,9,14,5,2,2,15,10,3,3,1,0,20,5,D,1,1,0,6,H,2,2,55,30,cleanP1_1920
94,P1,2019-11-10,15:00,Maritimo,Portimonense,1,1,D,0,1,A,15,10,4,2,3,1,25,21,4,6,0,0,15,6,D,1,1,0,2,A,-1,1,40,60,cleanP1_1920
95,P1,2019-11-10,15:00,Pacos Ferreira,Tondela,1,0,H,1,0,H,9,13,2,5,3,5,24,24,5,2,1,1,15,6,H,3,0,1,1,H,1,1,75,45,cleanP1_1920
96,P1,2019-11-10,18:30,Sp Lisbon,Belenenses,2,0,H,0,0,D,19,9,5,3,6,5,15,18,4,3,0,0,18,6,H,3,0,2,2,D,0,0,40,30,cleanP1_1920
97,P1,2019-11-10,20:00,Guimaraes,Sp Braga,0,2,A,0,1,A,14,9,2,5,11,2,17,16,5,2,0,0,20,6,A,0,3,-2,2,A,-1,1,50,20,cleanP1_1920
98,P1,2019-11-10,21:00,Boavista,Porto,0,1,A,0,1,A,7,9,1,1,3,6,14,16,3,1,0,0,21,6,A,0,3,-1,1,A,-1,1,30,10,cleanP1_1920
99,P1,2019-11-29,20:30,Santa Clara,Boavista,1,2,A,0,2,A,15,17,2,7,10,2,17,19,2,2,0,0,20,4,A,0,3,-1,3,A,-2,2,20,20,cleanP1_1920
